source,date,title,url,image_url,image_local_path,summary,bias_flags,bias_explanation,who_benefits
France 24,2026-03-11,"Israel strikes central Beirut, as number of displaced goes over 700,000",https://www.france24.com/en/israel-strikes-central-beirut-as-number-of-displaced-goes-over-700-000,https://s.france24.com/media/display/2984b0fe-1d33-11f1-b993-005056bfb2b6/w:1280/p:16x9/EN-20260311-102317-102651-CS.jpg,"C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Israel_strikes_central_Beirut,_as_number_of_displa_7.jpg","Central Beirut was targeted by fresh Israeli strikes in the early hours of March 11, for the second time since the star of the war. More than 560 people have been killed and over 700,000 displaced - about a tenth of the population - since Israeli started striking the country. FRANCE 24's Catherine Norris Trent has more from the ground.",,,
France 24,2026-03-11,Concern grows over possibility of Iran mining Strait of Hormuz,https://www.france24.com/en/concern-grows-over-possibility-of-iran-mining-strait-of-hormuz,https://s.france24.com/media/display/f6038ca4-1d2e-11f1-bf97-005056bfb2b6/w:1280/p:16x9/EN-20260311-100355-100538-CS.jpg,C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Concern_grows_over_possibility_of_Iran_mining_Stra_8.jpg,"The US says it has destroyed over a dozen Iranian ships capable of laying mines in the Strait of Hormuz. The crucial passage point for oil has been effectively closed due to Iranian threats. Trump warned Iran that the presence of mines would lead to military consequences ""at a level never seen before"".",,,
France 24,2026-03-11,"US-Israeli bombing destroyed nearly 10,000 civilian sites, says Iranian UN envoy",https://www.france24.com/en/us-israeli-bombing-destroyed-nearly-10-000-civilian-sites-says-iranian-un-envoy,https://s.france24.com/media/display/b4684692-1d2c-11f1-8aab-005056bf30b7/w:1280/p:16x9/EN-20260311-100138-100322-CS.jpg,"C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\US-Israeli_bombing_destroyed_nearly_10,000_civilia_9.jpg","Tehran was targeted by heavy bombardments on March 11 as the US-Israeli military campaign continued. The day before, US Secretary Pete Hegseth had warned that Iran would know the 'most intense day' of US strikes. Nearly 10,000 civilian sites have been destroyed since the war started, according to Iran's U.N. envoy.",,,
DW News,,Turkey caught in the middle as Iran war escalates,https://www.dw.com/en/turkey-caught-in-the-middle-as-iran-war-escalates/a-76295842?maca=en-rss-en-world-4025-rdf,https://static.dw.com/image/76253661_6.jpg,C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Turkey_caught_in_the_middle_as_Iran_war_escalates_0.jpg,Turkey has been watching with growing concern as the war between its neighbor Iran and the US and Israel escalates. Ankara fears the conflict could destabilize the region.,,,
DW News,,Can the US military sustain a long war in Iran?,https://www.dw.com/en/can-the-us-military-sustain-a-long-war-in-iran/a-76295419?maca=en-rss-en-world-4025-rdf,https://static.dw.com/image/76197007_6.jpg,C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Can_the_US_military_sustain_a_long_war_in_Iran__1.jpg,"Trump says the US has a ""virtually unlimited"" supply of weapons. His defense secretary says Iran has ""no hope"" of outlasting the US. But with reportedly low defensive missile stocks, how bullish should Washington be?",,,
DW News,,Lebanese fear wider war as Hezbollah-Israel attacks escalate,https://www.dw.com/en/lebanese-fear-wider-war-as-hezbollah-israel-attacks-escalate/a-76293444?maca=en-rss-en-world-4025-rdf,https://static.dw.com/image/76278443_6.jpg,C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Lebanese_fear_wider_war_as_Hezbollah-Israel_attack_2.jpg,"The expanding Middle East war has triggered a new displacement crisis in Lebanon. Amid ongoing attacks, Beirut has postponed parliamentary elections. What is happening to people on the ground?",,,
DW News,,"Pakistan to close schools, cut spending over Iran war",https://www.dw.com/en/pakistan-to-close-schools-cut-spending-over-iran-war/a-76293311?maca=en-rss-en-world-4025-rdf,https://static.dw.com/image/76257443_6.jpg,"C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Pakistan_to_close_schools,_cut_spending_over_Iran__3.jpg","Pakistan announced fuel- and cost-saving measures to mitigate the economic strain from the ongoing conflict in Iran. The steps include temporary school closures, government salary cuts, and a ban on iftar gatherings.",,,
DW News,,"Amid Iran war, civilians trapped between bombs and regime",https://www.dw.com/en/amid-iran-war-civilians-trapped-between-bombs-and-regime/a-76291146?maca=en-rss-en-world-4025-rdf,https://static.dw.com/image/76276269_6.jpg,"C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Amid_Iran_war,_civilians_trapped_between_bombs_and_4.jpg",Iran's civilians are dealing with US and Israeli airstrikes amid an internet blackout and with nearly no protection provided by the state. Even regime opponents are losing hope that the war will be over soon.,,,
DW News,,Charting the US-Israel war with Iran,https://www.dw.com/en/charting-the-us-israel-war-with-iran/a-76209201?maca=en-rss-en-world-4025-rdf,https://static.dw.com/image/76201565_6.jpg,C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Charting_the_US-Israel_war_with_Iran_5.jpg,The US-Israeli attacks on Iran have raised tensions in the Middle East. Here's a look at the Iran war in charts and maps.,,,
CNN,2026-03-11,What we know on the 12th day of the US and Israel’s war with Iran | CNN,https://www.cnn.com/2026/03/11/middleeast/us-israel-iran-middle-east-war-what-we-know-intl-hnk,"https://media.cnn.com/api/v1/images/stellar/prod/2026-03-11t003532z-270106255-rc202kaprj0j-rtrmadp-3-iran-crisis-israel.JPG?c=16x9&q=w_800,c_fill",C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\What_we_know_on_the_12th_day_of_the_US_and_Israel’_0.JPG,"A wave of strikes on Iran hit the capital and northern areas overnight into Wednesday, while Tehran launched what it called its “most intense” operation of the war, targeting Israel and Gulf nations, and attacks on ships near the Strait of Hormuz escalated.",,,
